Package,Dependent_Count,Dependents
autoware_sampler_common,15,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_bezier_sampler;autoware_frenet_planner;autoware_path_sampler;tier4_planning_launch
autoware_freespace_planning_algorithms,14,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_freespace_planner;tier4_planning_launch
autoware_bezier_sampler,13,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_path_sampler;tier4_planning_launch
autoware_frenet_planner,13,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_path_sampler;tier4_planning_launch
autoware_pcl_extensions,13,autoware_compare_map_segmentation;autoware_cuda_pointcloud_preprocessor;autoware_detected_object_validation;autoware_ground_segmentation;autoware_ground_segmentation_cuda;autoware_image_projection_based_fusion;autoware_occupancy_grid_map_outlier_filter;autoware_pointcloud_preprocessor;autoware_probabilistic_occupancy_grid_map;autoware_raindrop_cluster_filter;tier4_localization_launch;tier4_perception_launch;tier4_simulator_launch
autoware_behavior_path_planner_common,12,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;tier4_planning_launch
autoware_component_interface_specs_universe,12,autoware_control_command_gate;autoware_default_adapi_universe;autoware_geo_pose_projector;autoware_operation_mode_transition_manager;autoware_predicted_path_checker;autoware_smart_mpc_trajectory_follower;autoware_stop_mode_operator;autoware_vehicle_cmd_gate;tier4_autoware_api_launch;tier4_control_launch;tier4_localization_launch;tier4_simulator_launch
autoware_path_sampler,12,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;tier4_planning_launch
autoware_pointcloud_preprocessor,12,autoware_compare_map_segmentation;autoware_cuda_pointcloud_preprocessor;autoware_detected_object_validation;autoware_ground_segmentation;autoware_ground_segmentation_cuda;autoware_image_projection_based_fusion;autoware_occupancy_grid_map_outlier_filter;autoware_probabilistic_occupancy_grid_map;autoware_raindrop_cluster_filter;tier4_localization_launch;tier4_perception_launch;tier4_simulator_launch
autoware_behavior_path_planner,10,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;tier4_planning_launch
autoware_grid_map_utils,9,autoware_behavior_velocity_crosswalk_module;autoware_behavior_velocity_occlusion_spot_module;autoware_behavior_velocity_walkway_module;autoware_costmap_generator;autoware_elevation_map_loader;autoware_motion_velocity_obstacle_velocity_limiter_module;tier4_perception_launch;tier4_planning_launch;tier4_simulator_launch
autoware_behavior_velocity_rtc_interface,8,autoware_behavior_velocity_blind_spot_module;autoware_behavior_velocity_crosswalk_module;autoware_behavior_velocity_detection_area_module;autoware_behavior_velocity_intersection_module;autoware_behavior_velocity_no_stopping_area_module;autoware_behavior_velocity_roundabout_module;autoware_behavior_velocity_traffic_light_module;autoware_behavior_velocity_walkway_module
autoware_planning_validator_test_utils,8,autoware_pipeline_latency_monitor;autoware_planning_validator;autoware_planning_validator_intersection_collision_checker;autoware_planning_validator_latency_checker;autoware_planning_validator_rear_collision_checker;autoware_planning_validator_trajectory_checker;tier4_planning_launch;tier4_system_launch
tier4_api_utils,8,autoware_control_command_gate;autoware_joy_controller;autoware_simple_planning_simulator;autoware_smart_mpc_trajectory_follower;autoware_stop_mode_operator;autoware_vehicle_cmd_gate;tier4_control_launch;tier4_simulator_launch
autoware_command_mode_types,7,autoware_command_mode_decider;autoware_command_mode_decider_plugins;autoware_command_mode_switcher;autoware_command_mode_switcher_plugins;autoware_control_command_gate;tier4_control_launch;tier4_system_launch
autoware_planning_validator,7,autoware_pipeline_latency_monitor;autoware_planning_validator_intersection_collision_checker;autoware_planning_validator_latency_checker;autoware_planning_validator_rear_collision_checker;autoware_planning_validator_trajectory_checker;tier4_planning_launch;tier4_system_launch
autoware_image_transport_decompressor,6,autoware_bevfusion;autoware_calibration_status_classifier;autoware_tensorrt_yolox;autoware_traffic_light_fine_detector;tier4_perception_launch;tier4_simulator_launch
autoware_tensorrt_plugins,6,autoware_bevfusion;autoware_diffusion_planner;autoware_ptv3;autoware_tensorrt_vad;tier4_perception_launch;tier4_simulator_launch
perception_utils,6,autoware_image_projection_based_fusion;autoware_tensorrt_yolox;autoware_traffic_light_fine_detector;autoware_traffic_light_occlusion_predictor;tier4_perception_launch;tier4_simulator_launch
autoware_trajectory_follower_base,5,autoware_mpc_lateral_controller;autoware_pid_longitudinal_controller;autoware_pure_pursuit;autoware_trajectory_follower_node;tier4_control_launch
yabloc_common,5,tier4_localization_launch;tier4_simulator_launch;yabloc_image_processing;yabloc_particle_filter;yabloc_pose_initializer
autoware_euclidean_cluster,4,autoware_detection_by_tracker;autoware_image_projection_based_fusion;tier4_perception_launch;tier4_simulator_launch
autoware_landmark_manager,4,autoware_ar_tag_based_localizer;autoware_lidar_marker_localizer;tier4_localization_launch;tier4_simulator_launch
autoware_probabilistic_occupancy_grid_map,4,autoware_detected_object_validation;autoware_raindrop_cluster_filter;tier4_perception_launch;tier4_simulator_launch
autoware_raw_vehicle_cmd_converter,4,autoware_accel_brake_map_calibrator;autoware_external_cmd_converter;tier4_control_launch;tier4_vehicle_launch
autoware_shape_estimation,4,autoware_detection_by_tracker;autoware_dummy_perception_publisher;tier4_perception_launch;tier4_simulator_launch
autoware_vehicle_cmd_gate,4,autoware_control_command_gate;autoware_smart_mpc_trajectory_follower;autoware_stop_mode_operator;tier4_control_launch
autoware_detected_object_feature_remover,3,autoware_dummy_perception_publisher;tier4_perception_launch;tier4_simulator_launch
autoware_detected_object_validation,3,autoware_raindrop_cluster_filter;tier4_perception_launch;tier4_simulator_launch
autoware_lidar_centerpoint,3,autoware_image_projection_based_fusion;tier4_perception_launch;tier4_simulator_launch
autoware_tensorrt_classifier,3,autoware_traffic_light_classifier;tier4_perception_launch;tier4_simulator_launch
autoware_tensorrt_yolox,3,autoware_traffic_light_fine_detector;tier4_perception_launch;tier4_simulator_launch
autoware_agnocast_wrapper,2,autoware_cuda_pointcloud_preprocessor;autoware_ground_segmentation_cuda
autoware_ar_tag_based_localizer,2,tier4_localization_launch;tier4_simulator_launch
autoware_automatic_pose_initializer,2,tier4_localization_launch;tier4_simulator_launch
autoware_behavior_path_lane_change_module,2,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_external_request_lane_change_module
autoware_bevfusion,2,tier4_perception_launch;tier4_simulator_launch
autoware_bytetrack,2,tier4_perception_launch;tier4_simulator_launch
autoware_cluster_merger,2,tier4_perception_launch;tier4_simulator_launch
autoware_command_mode_decider,2,autoware_command_mode_decider_plugins;tier4_system_launch
autoware_command_mode_switcher,2,autoware_command_mode_switcher_plugins;tier4_system_launch
autoware_compare_map_segmentation,2,tier4_perception_launch;tier4_simulator_launch
autoware_crosswalk_traffic_light_estimator,2,tier4_perception_launch;tier4_simulator_launch
autoware_detection_by_tracker,2,tier4_perception_launch;tier4_simulator_launch
autoware_diagnostic_graph_aggregator,2,autoware_diagnostic_graph_test_examples;tier4_system_launch
autoware_diagnostic_graph_utils,2,autoware_hazard_status_converter;tier4_system_launch
autoware_elevation_map_loader,2,tier4_perception_launch;tier4_simulator_launch
autoware_external_cmd_selector,2,tier4_control_launch;tier4_planning_launch
autoware_geo_pose_projector,2,tier4_localization_launch;tier4_simulator_launch
autoware_ground_segmentation,2,tier4_perception_launch;tier4_simulator_launch
autoware_image_object_locator,2,tier4_perception_launch;tier4_simulator_launch
autoware_image_projection_based_fusion,2,tier4_perception_launch;tier4_simulator_launch
autoware_learning_based_vehicle_model,2,autoware_simple_planning_simulator;tier4_simulator_launch
autoware_lidar_apollo_instance_segmentation,2,tier4_perception_launch;tier4_simulator_launch
autoware_lidar_marker_localizer,2,tier4_localization_launch;tier4_simulator_launch
autoware_lidar_transfusion,2,tier4_perception_launch;tier4_simulator_launch
autoware_localization_error_monitor,2,tier4_localization_launch;tier4_simulator_launch
autoware_map_based_prediction,2,tier4_perception_launch;tier4_simulator_launch
autoware_mission_planner_universe,2,autoware_manual_lane_change_handler;tier4_planning_launch
autoware_mpc_lateral_controller,2,autoware_trajectory_follower_node;tier4_control_launch
autoware_multi_object_tracker,2,tier4_perception_launch;tier4_simulator_launch
autoware_object_merger,2,tier4_perception_launch;tier4_simulator_launch
autoware_object_range_splitter,2,tier4_perception_launch;tier4_simulator_launch
autoware_object_sorter,2,tier4_perception_launch;tier4_simulator_launch
autoware_object_velocity_splitter,2,tier4_perception_launch;tier4_simulator_launch
autoware_occupancy_grid_map_outlier_filter,2,tier4_perception_launch;tier4_simulator_launch
autoware_path_optimizer,2,autoware_trajectory_optimizer;tier4_planning_launch
autoware_perception_online_evaluator,2,tier4_perception_launch;tier4_simulator_launch
autoware_pid_longitudinal_controller,2,autoware_trajectory_follower_node;tier4_control_launch
autoware_pose_covariance_modifier,2,tier4_localization_launch;tier4_simulator_launch
autoware_pose_estimator_arbiter,2,tier4_localization_launch;tier4_simulator_launch
autoware_pose_instability_detector,2,tier4_localization_launch;tier4_simulator_launch
autoware_pure_pursuit,2,autoware_trajectory_follower_node;tier4_control_launch
autoware_radar_fusion_to_detected_object,2,tier4_perception_launch;tier4_simulator_launch
autoware_radar_object_tracker,2,tier4_perception_launch;tier4_simulator_launch
autoware_raindrop_cluster_filter,2,tier4_perception_launch;tier4_simulator_launch
autoware_simpl_prediction,2,tier4_perception_launch;tier4_simulator_launch
autoware_simple_object_merger,2,tier4_perception_launch;tier4_simulator_launch
autoware_tensorrt_bevdet,2,tier4_perception_launch;tier4_simulator_launch
autoware_topic_state_monitor,2,autoware_component_state_monitor;tier4_system_launch
autoware_tracking_object_merger,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_arbiter,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_classifier,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_fine_detector,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_map_based_detector,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_multi_camera_fusion,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_occlusion_predictor,2,tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_visualization,2,tier4_perception_launch;tier4_simulator_launch
yabloc_image_processing,2,tier4_localization_launch;tier4_simulator_launch
yabloc_monitor,2,tier4_localization_launch;tier4_simulator_launch
yabloc_particle_filter,2,tier4_localization_launch;tier4_simulator_launch
yabloc_pose_initializer,2,tier4_localization_launch;tier4_simulator_launch
autoware_behavior_path_static_obstacle_avoidance_module,1,autoware_behavior_path_avoidance_by_lane_change_module
autoware_behavior_velocity_crosswalk_module,1,autoware_behavior_velocity_walkway_module
autoware_behavior_velocity_intersection_module,1,autoware_behavior_velocity_roundabout_module
autoware_component_interface_tools,1,tier4_system_launch
autoware_component_state_monitor,1,tier4_system_launch
autoware_control_command_gate,1,tier4_control_launch
autoware_control_evaluator,1,tier4_control_launch
autoware_costmap_generator,1,tier4_planning_launch
autoware_cuda_pointcloud_preprocessor,1,autoware_ground_segmentation_cuda
autoware_default_adapi_universe,1,tier4_autoware_api_launch
autoware_dummy_diag_publisher,1,tier4_system_launch
autoware_dummy_perception_publisher,1,tier4_simulator_launch
autoware_duplicated_node_checker,1,tier4_system_launch
autoware_evaluation_adapter,1,tier4_autoware_api_launch
autoware_external_cmd_converter,1,tier4_control_launch
autoware_external_velocity_limit_selector,1,tier4_planning_launch
autoware_fault_injection,1,tier4_simulator_launch
autoware_freespace_planner,1,tier4_planning_launch
autoware_glog_component,1,tier4_planning_launch
autoware_hazard_lights_selector,1,tier4_planning_launch
autoware_hazard_status_converter,1,tier4_system_launch
autoware_lane_departure_checker,1,tier4_control_launch
autoware_manual_lane_change_handler,1,tier4_planning_launch
autoware_map_tf_generator,1,tier4_map_launch
autoware_mrm_comfortable_stop_operator,1,tier4_system_launch
autoware_mrm_emergency_stop_operator,1,tier4_system_launch
autoware_mrm_handler,1,tier4_system_launch
autoware_path_smoother,1,autoware_trajectory_optimizer
autoware_pipeline_latency_monitor,1,tier4_system_launch
autoware_planning_evaluator,1,tier4_planning_launch
autoware_processing_time_checker,1,tier4_system_launch
autoware_remaining_distance_time_calculator,1,tier4_planning_launch
autoware_scenario_selector,1,tier4_planning_launch
autoware_shift_decider,1,tier4_control_launch
autoware_simple_planning_simulator,1,tier4_simulator_launch
autoware_stop_mode_operator,1,tier4_control_launch
autoware_surround_obstacle_checker,1,tier4_planning_launch
autoware_system_monitor,1,tier4_system_launch
autoware_trajectory_follower_node,1,tier4_control_launch
autoware_vehicle_door_simulator,1,tier4_simulator_launch
tier4_localization_launch,1,tier4_simulator_launch
tier4_perception_launch,1,tier4_simulator_launch
autoware_accel_brake_map_calibrator,0,
autoware_adapi_visualizers,0,
autoware_autonomous_emergency_braking,0,
autoware_bag_time_manager_rviz_plugin,0,
autoware_behavior_path_avoidance_by_lane_change_module,0,
autoware_behavior_path_bidirectional_traffic_module,0,
autoware_behavior_path_dynamic_obstacle_avoidance_module,0,
autoware_behavior_path_external_request_lane_change_module,0,
autoware_behavior_path_goal_planner_module,0,
autoware_behavior_path_sampling_planner_module,0,
autoware_behavior_path_side_shift_module,0,
autoware_behavior_path_start_planner_module,0,
autoware_behavior_velocity_blind_spot_module,0,
autoware_behavior_velocity_detection_area_module,0,
autoware_behavior_velocity_no_drivable_lane_module,0,
autoware_behavior_velocity_no_stopping_area_module,0,
autoware_behavior_velocity_occlusion_spot_module,0,
autoware_behavior_velocity_roundabout_module,0,
autoware_behavior_velocity_speed_bump_module,0,
autoware_behavior_velocity_template_module,0,
autoware_behavior_velocity_traffic_light_module,0,
autoware_behavior_velocity_virtual_traffic_light_module,0,
autoware_behavior_velocity_walkway_module,0,
autoware_bluetooth_monitor,0,
autoware_calibration_status_classifier,0,
autoware_camera_streampetr,0,
autoware_carla_interface,0,
autoware_collision_detector,0,
autoware_command_mode_decider_plugins,0,
autoware_command_mode_switcher_plugins,0,
autoware_component_monitor,0,
autoware_control_performance_analysis,0,
autoware_control_validator,0,
autoware_diagnostic_graph_test_examples,0,
autoware_diffusion_planner,0,
autoware_dummy_infrastructure,0,
autoware_goal_distance_calculator,0,
autoware_ground_segmentation_cuda,0,
autoware_image_diagnostics,0,
autoware_imu_corrector,0,
autoware_joy_controller,0,
autoware_kinematic_evaluator,0,
autoware_lidar_frnet,0,
autoware_livox_tag_filter,0,
autoware_localization_evaluator,0,
autoware_motion_velocity_boundary_departure_prevention_module,0,
autoware_motion_velocity_dynamic_obstacle_stop_module,0,
autoware_motion_velocity_obstacle_cruise_module,0,
autoware_motion_velocity_obstacle_slow_down_module,0,
autoware_motion_velocity_obstacle_velocity_limiter_module,0,
autoware_motion_velocity_out_of_lane_module,0,
autoware_motion_velocity_road_user_stop_module,0,
autoware_motion_velocity_run_out_module,0,
autoware_obstacle_collision_checker,0,
autoware_operation_mode_transition_manager,0,
autoware_path_distance_calculator,0,
autoware_planning_validator_intersection_collision_checker,0,
autoware_planning_validator_latency_checker,0,
autoware_planning_validator_rear_collision_checker,0,
autoware_planning_validator_trajectory_checker,0,
autoware_polar_grid,0,
autoware_pose2twist,0,
autoware_predicted_path_checker,0,
autoware_predicted_path_postprocessor,0,
autoware_ptv3,0,
autoware_radar_objects_adapter,0,
autoware_radar_scan_to_pointcloud2,0,
autoware_radar_static_pointcloud_filter,0,
autoware_radar_threshold_filter,0,
autoware_radar_tracks_msgs_converter,0,
autoware_radar_tracks_noise_filter,0,
autoware_scenario_simulator_v2_adapter,0,
autoware_smart_mpc_trajectory_follower,0,
autoware_spheric_collision_detector,0,
autoware_steer_offset_estimator,0,
autoware_tensorrt_bevformer,0,
autoware_tensorrt_vad,0,
autoware_time_utils,0,
autoware_topic_relay_controller,0,
autoware_traffic_light_category_merger,0,
autoware_traffic_light_recognition_marker_publisher,0,
autoware_traffic_light_rviz_plugin,0,
autoware_traffic_light_selector,0,
autoware_trajectory_adapter,0,
autoware_trajectory_concatenator,0,
autoware_trajectory_modifier,0,
autoware_trajectory_optimizer,0,
autoware_trajectory_ranker,0,
autoware_trajectory_safety_filter,0,
autoware_trajectory_traffic_rule_filter,0,
autoware_velodyne_monitor,0,
tier4_adapi_rviz_plugin,0,
tier4_autoware_api_launch,0,
tier4_camera_view_rviz_plugin,0,
tier4_control_launch,0,
tier4_control_mode_rviz_plugin,0,
tier4_datetime_rviz_plugin,0,
tier4_dummy_object_rviz_plugin,0,
tier4_manual_lane_change_rviz_plugin,0,
tier4_map_launch,0,
tier4_perception_rviz_plugin,0,
tier4_planning_factor_rviz_plugin,0,
tier4_planning_launch,0,
tier4_sensing_launch,0,
tier4_simulator_launch,0,
tier4_state_rviz_plugin,0,
tier4_system_launch,0,
tier4_traffic_light_rviz_plugin,0,
tier4_vehicle_launch,0,
tier4_vehicle_rviz_plugin,0,
